Сценарий,Навык,Роль,Вес,scripts.id,skills.id,roles.id
Контроль качества,Контроль соответствия ТЗ в части информационного моделирования,BIM-менеджер,2,SC.3,SK.38,R.0
Контроль качества,Контроль соответствия ТЗ в части информационного моделирования,BIM-координатор,2,SC.3,SK.38,R.1
Контроль качества,Контроль качества информационных моделей,BIM-менеджер,1,SC.3,SK.39,R.0
Контроль качества,Контроль качества информационных моделей,BIM-координатор,3,SC.3,SK.39,R.1
Контроль качества,Контроль коллизий,BIM-координатор,3,SC.3,SK.40,R.1
Контроль качества,Контроль коллизий,Проектировщик,1,SC.3,SK.40,R.3
Контроль качества,Формирование отчета о проверке моделей,BIM-менеджер,3,SC.3,SK.41,R.0
Контроль качества,Формирование отчета о проверке моделей,BIM-координатор,2,SC.3,SK.41,R.1
Контроль качества,Выставление замечаний,BIM-менеджер,3,SC.3,SK.42,R.0
Контроль качества,Выставление замечаний,BIM-координатор,2,SC.3,SK.42,R.1
Контроль качества,Контроль статуса устранения замечаний,BIM-менеджер,3,SC.3,SK.43,R.0
Контроль качества,Контроль статуса устранения замечаний,BIM-координатор,2,SC.3,SK.43,R.1
Контроль качества,Визуализация состояния проекта на BI-дашборде,BIM-менеджер,1,SC.3,SK.44,R.0
Контроль качества,Визуализация состояния проекта на BI-дашборде,Аналитик данных,3,SC.3,SK.44,R.7
Автоматизация рабочих процессов,Разработка скриптов/плагинов,BIM-менеджер,2,SC.4,SK.45,R.0
Автоматизация рабочих процессов,Разработка скриптов/плагинов,BIM-координатор,2,SC.4,SK.45,R.1
Автоматизация рабочих процессов,Разработка скриптов/плагинов,Программист,3,SC.4,SK.45,R.8
Автоматизация рабочих процессов,Интеграция It-систем,IT-специалист,2,SC.4,SK.46,R.2
Автоматизация рабочих процессов,Интеграция It-систем,Проограммист,3,SC.4,SK.46,R.9
Автоматизация рабочих процессов,Интеграция It-систем,BIM-менеджер,1,SC.4,SK.46,R.0
Разработка проектной модели,Получение и контроль достаточности исходных данных,ГИП/ГАП,3,SC.5,SK.47,R.5
Разработка проектной модели,Получение и контроль достаточности исходных данных,BIM-менеджер,2,SC.5,SK.47,R.0
Разработка проектной модели,Разработка информационной модели,Проектировщик,3,SC.5,SK.48,R.3
Разработка проектной модели,Разработка информационной модели,BIM-моделер,3,SC.5,SK.48,R.4
Разработка проектной модели,Разработка 2D-чертежей на основании информационной модели,Проектировщик,3,SC.5,SK.49,R.3
Разработка проектной модели,Разработка спецификаций на основании информационной модели,Проектировщик,3,SC.5,SK.50,R.3
Разработка проектной модели,Расчёт инсоляции,Проектировщик,3,SC.5,SK.51,R.3
Разработка проектной модели,Моделирование людских или транспортных потоков,Проектировщик,1,SC.5,SK.52,R.3
Разработка проектной модели,Энергетические расчёты,Проектировщик,2,SC.5,SK.53,R.3
Разработка проектной модели,Расчёты несущей способности,Проектировщик,3,SC.5,SK.54,R.3
Разработка проектной модели,Создание визуализаций в формате изображений или анимационных роликов,Проектировщик,2,SC.5,SK.55,R.3
Разработка проектной модели,Создание визуализаций в формате изображений или анимационных роликов,3D-дизайнер, визуализатор,3,SC.5,SK.55,R.10
Разработка проектной модели,CFD моделирование ветровой нагрузки,Проектировщик,1,SC.5,SK.56,R.3
Разработка проектной модели,CFD моделирование процессов отопления и вентиляции,Проектировщик,1,SC.5,SK.57,R.3
Разработка строительной модели,Разработка информационной модели по облакам точек,BIM-моделер,3,SC.6,SK.58,R.4
Разработка строительной модели,Разработка информационной модели ПОС,Инженер ПТО,2,SC.6,SK.59,R.11
Разработка строительной модели,Разработка информационной модели ПОС,BIM-моделер,3,SC.6,SK.59,R.4
Разработка строительной модели,Разработка информационной модели по 2D-чертежам и прочей документации,Инженер ПТО,2,SC.6,SK.60,R.11
Разработка строительной модели,Разработка информационной модели по 2D-чертежам и прочей документации,BIM-моделер,3,SC.6,SK.60,R.4
Разработка строительной модели,Внесение статусов элементов строительной модели на основании плана/факта,Инженер ПТО,3,SC.6,SK.61,R.11
Разработка строительной модели,Внесение статусов элементов строительной модели на основании плана/факта,BIM-моделер,1,SC.6,SK.61,R.4
Разработка исполнительной модели,Развёртывание СОД под проект,BIM-менеджер,2,SC.7,SK.19,R.0
Разработка исполнительной модели,Развёртывание СОД под проект,BIM-координатор,2,SC.7,SK.19,R.1
Разработка исполнительной модели,Разработка информационной модели по облакам точек,Инженер ПТО,2,SC.7,SK.58,R.11
Разработка исполнительной модели,Разработка информационной модели по облакам точек,BIM-моделер,3,SC.7,SK.58,R.4
Разработка исполнительной модели,Разработка информационной модели по 2D-чертежам и прочей документации,Инженер ПТО,2,SC.7,SK.60,R.11
Разработка исполнительной модели,Разработка информационной модели по 2D-чертежам и прочей документации,BIM-моделер,3,SC.7,SK.60,R.4
Разработка эксплуатационной модели,Развёртывание СОД под проект,BIM-менеджер,3,SC.8,SK.19,R.0
Разработка эксплуатационной модели,Развёртывание СОД под проект,BIM-координатор,2,SC.8,SK.19,R.1
Разработка эксплуатационной модели,Разработка информационной модели по 2D-чертежам и прочей документации,BIM-моделер,3,SC.8,SK.60,R.4
Разработка эксплуатационной модели,Организация информационного обмена между информационной моделью и системами управления объектом,BIM-менеджер,2,SC.8,SK.62,R.0
Разработка эксплуатационной модели,Организация информационного обмена между информационной моделью и системами управления объектом,BIM-координатор,2,SC.8,SK.62,R.1
Разработка эксплуатационной модели,Организация информационного обмена между информационной моделью и системами управления объектом,Проограммист,3,SC.8,SK.62,R.9
Разработка ведомости объёмов работ,Управление справочником работ в специализированном BIM программном обеспечении,Инженер ПТО,2,SC.9,SK.63,R.11
Разработка ведомости объёмов работ,Управление справочником работ в специализированном BIM программном обеспечении,BIM-координатор,3,SC.9,SK.63,R.1
Разработка ведомости объёмов работ,Управление справочником ресурсов в специализированном BIM программном обеспечении,Инженер ПТО,2,SC.9,SK.64,R.11
Разработка ведомости объёмов работ,Управление справочником ресурсов в специализированном BIM программном обеспечении,BIM-координатор,3,SC.9,SK.64,R.1
Разработка ведомости объёмов работ,Указание потребности ресурсов работам в  в специализированном BIM программном обеспечении,Инженер ПТО,2,SC.9,SK.65,R.11
Разработка ведомости объёмов работ,Указание потребности ресурсов работам в  в специализированном BIM программном обеспечении,BIM-координатор,3,SC.9,SK.65,R.1
Разработка ведомости объёмов работ,Назначение элементам BIM-модели кодов по классификатору,Проектировщик,3,SC.9,SK.66,R.3
Разработка ведомости объёмов работ,Назначение элементам BIM-модели кодов по классификатору,BIM-моделер,3,SC.9,SK.66,R.4
Разработка ведомости объёмов работ,Связывание элементов BIM-модели с работами из справочника работ,Инженер ПТО,3,SC.9,SK.67,R.11
Разработка ведомости объёмов работ,Связывание элементов BIM-модели с работами из справочника работ,BIM-моделер,2,SC.9,SK.67,R.4
Разработка ведомости объёмов работ,Разработка аналитического дашборда ведомости объёмов работ,Аналитик данных,3,SC.9,SK.68,R.7
Календарное планирование,Разработка календарного плана на основании данных о строительных работах по элементам информационной модели,Планировщик,2,SC.10,SK.69,R.12
Календарное планирование,Связь задач графика, разработанного без использования информационной модели, с элементами информационной модели,Планировщик,2,SC.10,SK.70,R.12
